ReferenceDesignator,ParameterID_R,GlobalRangeMin,GlobalRangeMax,_DataLevel,_Units,_Array ID,_Platform ID,_Instrument
GI03FLMA-RIM01-02-CTDMOG047,density,1000,1100,L2,kg m-3,GI03FLMA,RIM01,CTDMOG047
GI03FLMA-RIM01-02-CTDMOG047,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMA,RIM01,CTDMOG047
GI03FLMA-RIM01-02-CTDMOG047,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMA,RIM01,CTDMOG047
GI03FLMA-RIM01-02-CTDMOG047,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMA,RIM01,CTDMOG047
GI03FLMA-RIM01-02-CTDMOG048,practical_salinity,0,42,L2,1,GI03FLMA,RIM01,CTDMOG048
GI03FLMA-RIM01-02-CTDMOG048,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMA,RIM01,CTDMOG048
GI03FLMA-RIM01-02-CTDMOG048,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMA,RIM01,CTDMOG048
GI03FLMA-RIM01-02-CTDMOG048,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMA,RIM01,CTDMOG048
GI03FLMA-RIM01-02-CTDMOG048,density,1000,1100,L2,kg m-3,GI03FLMA,RIM01,CTDMOG048
GI03FLMA-RIM01-02-CTDMOG048,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMA,RIM01,CTDMOG048
GI03FLMA-RIM01-02-CTDMOG048,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMA,RIM01,CTDMOG048
GI03FLMA-RIM01-02-CTDMOG048,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMA,RIM01,CTDMOG048
GI03FLMA-RIM01-02-CTDMOH049,practical_salinity,0,42,L2,1,GI03FLMA,RIM01,CTDMOH049
GI03FLMA-RIM01-02-CTDMOH049,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMA,RIM01,CTDMOH049
GI03FLMA-RIM01-02-CTDMOH049,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMA,RIM01,CTDMOH049
GI03FLMA-RIM01-02-CTDMOH049,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMA,RIM01,CTDMOH049
GI03FLMA-RIM01-02-CTDMOH049,density,1000,1100,L2,kg m-3,GI03FLMA,RIM01,CTDMOH049
GI03FLMA-RIM01-02-CTDMOH049,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMA,RIM01,CTDMOH049
GI03FLMA-RIM01-02-CTDMOH049,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMA,RIM01,CTDMOH049
GI03FLMA-RIM01-02-CTDMOH049,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMA,RIM01,CTDMOH049
GI03FLMA-RIM01-02-CTDMOH050,practical_salinity,0,42,L2,1,GI03FLMA,RIM01,CTDMOH050
GI03FLMA-RIM01-02-CTDMOH050,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMA,RIM01,CTDMOH050
GI03FLMA-RIM01-02-CTDMOH050,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMA,RIM01,CTDMOH050
GI03FLMA-RIM01-02-CTDMOH050,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMA,RIM01,CTDMOH050
GI03FLMA-RIM01-02-CTDMOH050,density,1000,1100,L2,kg m-3,GI03FLMA,RIM01,CTDMOH050
GI03FLMA-RIM01-02-CTDMOH050,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMA,RIM01,CTDMOH050
GI03FLMA-RIM01-02-CTDMOH050,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMA,RIM01,CTDMOH050
GI03FLMA-RIM01-02-CTDMOH050,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMA,RIM01,CTDMOH050
GI03FLMA-RIM01-02-CTDMOH051,practical_salinity,0,42,L2,1,GI03FLMA,RIM01,CTDMOH051
GI03FLMA-RIM01-02-CTDMOH051,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMA,RIM01,CTDMOH051
GI03FLMA-RIM01-02-CTDMOH051,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMA,RIM01,CTDMOH051
GI03FLMA-RIM01-02-CTDMOH051,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMA,RIM01,CTDMOH051
GI03FLMA-RIM01-02-CTDMOH051,density,1000,1100,L2,kg m-3,GI03FLMA,RIM01,CTDMOH051
GI03FLMA-RIM01-02-CTDMOH051,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMA,RIM01,CTDMOH051
GI03FLMA-RIM01-02-CTDMOH051,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMA,RIM01,CTDMOH051
GI03FLMA-RIM01-02-CTDMOH051,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMA,RIM01,CTDMOH051
GI03FLMA-RIS01-03-DOSTAD000,dissolved_oxygen,0,400,L2,µmol kg-1,GI03FLMA,RIS01,DOSTAD000
GI03FLMA-RIS01-03-DOSTAD000,dosta_abcdjm_cspp_tc_oxygen,0,400,L1,umol L-1,GI03FLMA,RIS01,DOSTAD000
GI03FLMA-RIS01-03-DOSTAD000,estimated_oxygen_concentration,0,400,L1,umol L-1,GI03FLMA,RIS01,DOSTAD000
GI03FLMA-RIS01-03-DOSTAD000,estimated_oxygen_saturation,0,110,,percent,GI03FLMA,RIS01,DOSTAD000
GI03FLMA-RIS01-03-DOSTAD000,optode_temperature,-2,40,,ºC,GI03FLMA,RIS01,DOSTAD000
GI03FLMA-RIS01-04-PHSENF000,phsen_abcdef_ph_seawater,7.3,8.5,L1,1,GI03FLMA,RIS01,PHSENF000
GI03FLMA-RIS01-05-FLORTD000,seawater_scattering_coefficient,,,L2,m-1,GI03FLMA,RIS01,FLORTD000
GI03FLMA-RIS01-05-FLORTD000,fluorometric_chlorophyll_a,0,50,L1,µg L-1,GI03FLMA,RIS01,FLORTD000
GI03FLMA-RIS01-05-FLORTD000,fluorometric_cdom,0,375,L1,ppb,GI03FLMA,RIS01,FLORTD000
GI03FLMA-RIS01-05-FLORTD000,total_volume_scattering_coefficient,0,0.0079,L1,m-1 sr-1,GI03FLMA,RIS01,FLORTD000
GI03FLMA-RIS01-05-FLORTD000,optical_backscatter,0.0003,1,L2,m-1,GI03FLMA,RIS01,FLORTD000
GI03FLMB-RI000-00-CTDMOH000,practical_salinity,0,42,L2,1,GI03FLMB,RI000,CTDMOH000
GI03FLMB-RI000-00-CTDMOH000,density,1000,1100,L2,kg m-3,GI03FLMB,RI000,CTDMOH000
GI03FLMB-RI000-00-CTDMOH000,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMB,RI000,CTDMOH000
GI03FLMB-RI000-00-CTDMOH000,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMB,RI000,CTDMOH000
GI03FLMB-RI000-00-CTDMOH000,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMB,RI000,CTDMOH000
GI03FLMB-RI000-00-CTDMOH100,practical_salinity,0,42,L2,1,GI03FLMB,RI000,CTDMOH100
GI03FLMB-RI000-00-CTDMOH100,density,1000,1100,L2,kg m-3,GI03FLMB,RI000,CTDMOH100
GI03FLMB-RI000-00-CTDMOH100,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMB,RI000,CTDMOH100
GI03FLMB-RI000-00-CTDMOH100,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMB,RI000,CTDMOH100
GI03FLMB-RI000-00-CTDMOH100,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMB,RI000,CTDMOH100
GI03FLMB-RI000-00-CTDMOH400,practical_salinity,0,42,L2,1,GI03FLMB,RI000,CTDMOH400
GI03FLMB-RI000-00-CTDMOH400,density,1000,1100,L2,kg m-3,GI03FLMB,RI000,CTDMOH400
GI03FLMB-RI000-00-CTDMOH400,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMB,RI000,CTDMOH400
GI03FLMB-RI000-00-CTDMOH400,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMB,RI000,CTDMOH400
GI03FLMB-RI000-00-CTDMOH400,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMB,RI000,CTDMOH400
GI03FLMB-RI000-00-CTDMOH700,practical_salinity,0,42,L2,1,GI03FLMB,RI000,CTDMOH700
GI03FLMB-RI000-00-CTDMOH700,density,1000,1100,L2,kg m-3,GI03FLMB,RI000,CTDMOH700
GI03FLMB-RI000-00-CTDMOH700,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMB,RI000,CTDMOH700
GI03FLMB-RI000-00-CTDMOH700,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMB,RI000,CTDMOH700
GI03FLMB-RI000-00-CTDMOH700,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMB,RI000,CTDMOH700
GI03FLMB-RI000-00-VELPTB000,eastward_velocity,-3,3,L1,m s-1,GI03FLMB,RI000,VELPTB000
GI03FLMB-RI000-00-VELPTB000,northward_velocity,-3,3,L1,m s-1,GI03FLMB,RI000,VELPTB000
GI03FLMB-RI000-00-VELPTB000,upward_velocity,-1,1,L1,m s-1,GI03FLMB,RI000,VELPTB000
GI03FLMB-RI000-00-VELPTB000,pressure_mbar,0,1100000,,0.001 dbar,GI03FLMB,RI000,VELPTB000
GI03FLMB-RI000-00-VELPTB000,velocity_beam1,-3000,3000,L0,mm s-1,GI03FLMB,RI000,VELPTB000
GI03FLMB-RI000-00-VELPTB000,velocity_beam2,-3000,3000,L0,mm s-1,GI03FLMB,RI000,VELPTB000
GI03FLMB-RI000-00-VELPTB000,velocity_beam3,-1000,1000,L0,mm s-1,GI03FLMB,RI000,VELPTB000
GI03FLMB-RI000-00-VELPTB100,eastward_velocity,-3,3,L1,m s-1,GI03FLMB,RI000,VELPTB100
GI03FLMB-RI000-00-VELPTB100,northward_velocity,-3,3,L1,m s-1,GI03FLMB,RI000,VELPTB100
GI03FLMB-RI000-00-VELPTB100,upward_velocity,-1,1,L1,m s-1,GI03FLMB,RI000,VELPTB100
GI03FLMB-RI000-00-VELPTB100,pressure_mbar,0,1100000,,0.001 dbar,GI03FLMB,RI000,VELPTB100
GI03FLMB-RI000-00-VELPTB100,velocity_beam1,-3000,3000,L0,mm s-1,GI03FLMB,RI000,VELPTB100
GI03FLMB-RI000-00-VELPTB100,velocity_beam2,-3000,3000,L0,mm s-1,GI03FLMB,RI000,VELPTB100
GI03FLMB-RI000-00-VELPTB100,velocity_beam3,-1000,1000,L0,mm s-1,GI03FLMB,RI000,VELPTB100
GI03FLMB-RI000-00-VELPTB400,eastward_velocity,-3,3,L1,m s-1,GI03FLMB,RI000,VELPTB400
GI03FLMB-RI000-00-VELPTB400,northward_velocity,-3,3,L1,m s-1,GI03FLMB,RI000,VELPTB400
GI03FLMB-RI000-00-VELPTB400,upward_velocity,-1,1,L1,m s-1,GI03FLMB,RI000,VELPTB400
GI03FLMB-RI000-00-VELPTB400,pressure_mbar,0,1100000,,0.001 dbar,GI03FLMB,RI000,VELPTB400
GI03FLMB-RI000-00-VELPTB400,velocity_beam1,-3000,3000,L0,mm s-1,GI03FLMB,RI000,VELPTB400
GI03FLMB-RI000-00-VELPTB400,velocity_beam2,-3000,3000,L0,mm s-1,GI03FLMB,RI000,VELPTB400
GI03FLMB-RI000-00-VELPTB400,velocity_beam3,-1000,1000,L0,mm s-1,GI03FLMB,RI000,VELPTB400
GI03FLMB-RI000-00-VELPTB700,eastward_velocity,-3,3,L1,m s-1,GI03FLMB,RI000,VELPTB700
GI03FLMB-RI000-00-VELPTB700,northward_velocity,-3,3,L1,m s-1,GI03FLMB,RI000,VELPTB700
GI03FLMB-RI000-00-VELPTB700,upward_velocity,-1,1,L1,m s-1,GI03FLMB,RI000,VELPTB700
GI03FLMB-RI000-00-VELPTB700,pressure_mbar,0,1100000,,0.001 dbar,GI03FLMB,RI000,VELPTB700
GI03FLMB-RI000-00-VELPTB700,velocity_beam1,-3000,3000,L0,mm s-1,GI03FLMB,RI000,VELPTB700
GI03FLMB-RI000-00-VELPTB700,velocity_beam2,-3000,3000,L0,mm s-1,GI03FLMB,RI000,VELPTB700
GI03FLMB-RI000-00-VELPTB700,velocity_beam3,-1000,1000,L0,mm s-1,GI03FLMB,RI000,VELPTB700
GI03FLMB-RIM01-02-ADCPSL007,corrected_echo_intensity_beam1,0,255,L1,dB,GI03FLMB,RIM01,ADCPSL007
GI03FLMB-RIM01-02-ADCPSL007,corrected_echo_intensity_beam2,0,255,L1,dB,GI03FLMB,RIM01,ADCPSL007
GI03FLMB-RIM01-02-ADCPSL007,corrected_echo_intensity_beam3,0,255,L1,dB,GI03FLMB,RIM01,ADCPSL007
GI03FLMB-RIM01-02-ADCPSL007,corrected_echo_intensity_beam4,0,255,L1,dB,GI03FLMB,RIM01,ADCPSL007
GI03FLMB-RIM01-02-ADCPSL007,eastward_seawater_velocity,-3,3,L1,m s-1,GI03FLMB,RIM01,ADCPSL007
GI03FLMB-RIM01-02-ADCPSL007,northward_seawater_velocity,-3,3,L1,m s-1,GI03FLMB,RIM01,ADCPSL007
GI03FLMB-RIM01-02-ADCPSL007,upward_seawater_velocity,-1,1,L1,m s-1,GI03FLMB,RIM01,ADCPSL007
GI03FLMB-RIM01-02-ADCPSL007,error_seawater_velocity,-1,1,L1,m s-1,GI03FLMB,RIM01,ADCPSL007
GI03FLMB-RIM01-02-ADCPSL007,salinity,,,,1,GI03FLMB,RIM01,ADCPSL007
GI03FLMB-RIM01-02-ADCPSL007,water_velocity_east,-3000,3000,L0,mm s-1,GI03FLMB,RIM01,ADCPSL007
GI03FLMB-RIM01-02-ADCPSL007,water_velocity_north,-3000,3000,L0,mm s-1,GI03FLMB,RIM01,ADCPSL007
GI03FLMB-RIM01-02-ADCPSL007,water_velocity_up,-1000,1000,L0,mm s-1,GI03FLMB,RIM01,ADCPSL007
GI03FLMB-RIM01-02-ADCPSL007,error_velocity,-1000,1000,L0,mm s-1,GI03FLMB,RIM01,ADCPSL007
GI03FLMB-RIM01-02-ADCPSL007,upward_earth_seawater_velocity,-1,1,L1,m s-1,GI03FLMB,RIM01,ADCPSL007
GI03FLMB-RIM01-02-ADCPSL007,earth_error_velocity,-1,1,L1,m s-1,GI03FLMB,RIM01,ADCPSL007
GI03FLMB-RIM01-02-CTDMOG060,practical_salinity,0,42,L2,1,GI03FLMB,RIM01,CTDMOG060
GI03FLMB-RIM01-02-CTDMOG060,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMB,RIM01,CTDMOG060
GI03FLMB-RIM01-02-CTDMOG060,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMB,RIM01,CTDMOG060
GI03FLMB-RIM01-02-CTDMOG060,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMB,RIM01,CTDMOG060
GI03FLMB-RIM01-02-CTDMOG060,density,1000,1100,L2,kg m-3,GI03FLMB,RIM01,CTDMOG060
GI03FLMB-RIM01-02-CTDMOG060,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMB,RIM01,CTDMOG060
GI03FLMB-RIM01-02-CTDMOG060,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMB,RIM01,CTDMOG060
GI03FLMB-RIM01-02-CTDMOG060,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMB,RIM01,CTDMOG060
GI03FLMB-RIM01-02-CTDMOG061,practical_salinity,0,42,L2,1,GI03FLMB,RIM01,CTDMOG061
GI03FLMB-RIM01-02-CTDMOG061,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMB,RIM01,CTDMOG061
GI03FLMB-RIM01-02-CTDMOG061,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMB,RIM01,CTDMOG061
GI03FLMB-RIM01-02-CTDMOG061,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMB,RIM01,CTDMOG061
GI03FLMB-RIM01-02-CTDMOG061,density,1000,1100,L2,kg m-3,GI03FLMB,RIM01,CTDMOG061
GI03FLMB-RIM01-02-CTDMOG061,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMB,RIM01,CTDMOG061
GI03FLMB-RIM01-02-CTDMOG061,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMB,RIM01,CTDMOG061
GI03FLMB-RIM01-02-CTDMOG061,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMB,RIM01,CTDMOG061
GI03FLMB-RIM01-02-CTDMOG062,practical_salinity,0,42,L2,1,GI03FLMB,RIM01,CTDMOG062
GI03FLMB-RIM01-02-CTDMOG062,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMB,RIM01,CTDMOG062
GI03FLMB-RIM01-02-CTDMOG062,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMB,RIM01,CTDMOG062
GI03FLMB-RIM01-02-CTDMOG062,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMB,RIM01,CTDMOG062
GI03FLMB-RIM01-02-CTDMOG062,density,1000,1100,L2,kg m-3,GI03FLMB,RIM01,CTDMOG062
GI03FLMB-RIM01-02-CTDMOG062,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMB,RIM01,CTDMOG062
GI03FLMB-RIM01-02-CTDMOG062,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMB,RIM01,CTDMOG062
GI03FLMB-RIM01-02-CTDMOG062,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMB,RIM01,CTDMOG062
GI03FLMB-RIM01-02-CTDMOG063,practical_salinity,0,42,L2,1,GI03FLMB,RIM01,CTDMOG063
GI03FLMB-RIM01-02-CTDMOG063,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMB,RIM01,CTDMOG063
GI03FLMB-RIM01-02-CTDMOG063,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMB,RIM01,CTDMOG063
GI03FLMB-RIM01-02-CTDMOG063,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMB,RIM01,CTDMOG063
GI03FLMB-RIM01-02-CTDMOG063,density,1000,1100,L2,kg m-3,GI03FLMB,RIM01,CTDMOG063
GI03FLMB-RIM01-02-CTDMOG063,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMB,RIM01,CTDMOG063
GI03FLMB-RIM01-02-CTDMOG063,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMB,RIM01,CTDMOG063
GI03FLMB-RIM01-02-CTDMOG063,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMB,RIM01,CTDMOG063
GI03FLMB-RIM01-02-CTDMOG064,practical_salinity,0,42,L2,1,GI03FLMB,RIM01,CTDMOG064
GI03FLMB-RIM01-02-CTDMOG064,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMB,RIM01,CTDMOG064
GI03FLMB-RIM01-02-CTDMOG064,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMB,RIM01,CTDMOG064
GI03FLMB-RIM01-02-CTDMOG064,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMB,RIM01,CTDMOG064
GI03FLMB-RIM01-02-CTDMOG064,density,1000,1100,L2,kg m-3,GI03FLMB,RIM01,CTDMOG064
GI03FLMB-RIM01-02-CTDMOG064,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMB,RIM01,CTDMOG064
GI03FLMB-RIM01-02-CTDMOG064,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMB,RIM01,CTDMOG064
GI03FLMB-RIM01-02-CTDMOG064,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMB,RIM01,CTDMOG064
GI03FLMB-RIM01-02-CTDMOG065,practical_salinity,0,42,L2,1,GI03FLMB,RIM01,CTDMOG065
GI03FLMB-RIM01-02-CTDMOG065,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMB,RIM01,CTDMOG065
GI03FLMB-RIM01-02-CTDMOG065,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMB,RIM01,CTDMOG065
GI03FLMB-RIM01-02-CTDMOG065,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMB,RIM01,CTDMOG065
GI03FLMB-RIM01-02-CTDMOG065,density,1000,1100,L2,kg m-3,GI03FLMB,RIM01,CTDMOG065
GI03FLMB-RIM01-02-CTDMOG065,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMB,RIM01,CTDMOG065
GI03FLMB-RIM01-02-CTDMOG065,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMB,RIM01,CTDMOG065
GI03FLMB-RIM01-02-CTDMOG065,ctdmo_seawater_conductivity,0,6,L1,S m-1,GI03FLMB,RIM01,CTDMOG065
GI03FLMB-RIM01-02-CTDMOG066,practical_salinity,0,42,L2,1,GI03FLMB,RIM01,CTDMOG066
GI03FLMB-RIM01-02-CTDMOG066,ctdmo_seawater_pressure,0,6000,L1,dbar,GI03FLMB,RIM01,CTDMOG066
GI03FLMB-RIM01-02-CTDMOG066,ctdmo_seawater_temperature,-2,40,L1,ºC,GI03FLMB,RIM01,CTDMOG066
